04/16/22:17:51:14, Command, default_user, !reset
04/16/22:17:52:30, Log, @System, MidiBot initated
04/16/22:17:52:30, Log, @System, Settings files loaded successfully
04/16/22:17:52:34, Command, default_user, !add synth c3
04/16/22:17:52:37, Command, default_user, !add synth c4
04/16/22:17:52:41, Command, default_user, !add synth c6
04/16/22:17:52:43, Command, default_user, !reset
04/16/22:17:52:49, Log, @System, MidiBot initated
04/16/22:17:52:49, Log, @System, Settings files loaded successfully
04/16/22:17:52:53, Command, default_user, !add synth c2
04/16/22:17:52:55, Command, default_user, !add synth c3
04/16/22:17:52:57, Command, default_user, !add synth c4
04/16/22:17:54:42, Log, @System, MidiBot initated
04/16/22:17:54:42, Log, @System, Settings files loaded successfully
04/16/22:17:54:45, Command, default_user, !add synth c3
04/16/22:17:54:47, Command, default_user, !add synth c2
04/16/22:17:54:50, Command, default_user, !add synth a2
04/16/22:17:55:44, Log, @System, MidiBot initated
04/16/22:17:55:44, Log, @System, Settings files loaded successfully
04/16/22:17:55:46, Command, default_user, !add synth c3
04/16/22:17:55:48, Command, default_user, !add synth c4
04/16/22:17:55:52, Command, default_user, !add synth c5
04/16/22:17:55:56, Command, default_user, !add synth c2
04/16/22:17:56:03, Command, default_user, !add synth a2
04/16/22:17:56:08, Command, default_user, !add synth e2
04/16/22:17:57:24, Log, @System, MidiBot initated
04/16/22:17:57:24, Log, @System, Settings files loaded successfully
04/16/22:17:57:26, Command, default_user, !add synth c4
04/16/22:17:57:28, Command, default_user, !add synth a2
04/16/22:17:57:33, Command, default_user, !add synth e3
04/16/22:17:58:55, Log, @System, MidiBot initated
04/16/22:17:58:55, Log, @System, Settings files loaded successfully
04/16/22:17:58:58, Command, default_user, !add synth c3
04/16/22:17:59:00, Command, default_user, !add synth c4
04/16/22:17:59:04, Command, default_user, !add synth a2
04/16/22:17:59:47, Command, default_user, !reset
04/16/22:18:01:03, Log, @System, MidiBot initated
04/16/22:18:01:03, Log, @System, Settings files loaded successfully
04/16/22:18:01:05, Command, default_user, !add synth c3
04/16/22:18:01:08, Command, default_user, !add synth a1
04/16/22:18:01:15, Command, default_user, !add synth c2
04/16/22:18:01:27, Command, default_user, !add drums c1
04/16/22:18:01:32, Command, default_user, !add drums c2
04/16/22:18:01:36, Command, default_user, !add synth c4
